idx, drive, strafe, turn, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
0, -0.7495068, -0.4012332, 0.3026189, 197.2701, -389.5175, 1004.0, 1049.0, 270.0, 399.5044, 2350.471, -0.1660198, 0.2631369, 0.2602242
1, -0.7495068, -0.4012332, 0.3026189, 198.5557, -389.2826, 1004.0, 1049.0, 270.0, 400.811, 2350.649, -0.1142786, 0.2731369, 0.2702242
2, -0.7495068, -0.4012332, 0.3026189, 198.5557, -389.2826, 1004.0, 1047.0, 273.0, 400.612, 2350.624, -0.04167067, 0.2480244, 0.2457866
3, -0.7495068, -0.4012332, 0.3026189, 199.5665, -389.0476, 1004.0, 1047.0, 273.0, 401.6546, 2350.775, 0.03819129, 0.2580244, 0.2557866
4, -0.7495068, -0.4012332, 0.3026189, 199.5665, -389.0476, 1004.0, 1047.0, 273.0, 401.6884, 2350.687, 0.1219626, 0.2680244, 0.2657866
5, -0.7495068, -0.4012332, 0.3026189, 200.2714, -388.8127, 1004.0, 1047.0, 273.0, 402.4251, 2350.839, 0.2027, 0.2780244, 0.2757865
6, -0.7495068, -0.4012332, 0.3026189, 200.2714, -388.8127, 1004.0, 1047.0, 277.0, 402.522, 2350.795, 0.2717657, 0.2517669, 0.2500553
7, -0.7495068, -0.4012332, 0.3026189, 200.4265, -388.7373, 1004.0, 1047.0, 277.0, 402.6984, 2350.814, 0.3249024, 0.2617669, 0.2600553
8, -0.7495068, -0.4012332, 0.3026189, 200.4265, -388.7373, 1004.0, 1047.0, 277.0, 402.7141, 2350.774, 0.3632338, 0.2717669, 0.2700553
9, -0.7495068, -0.4012332, 0.3026189, 200.4265, -388.6575, 1004.0, 1047.0, 277.0, 402.7563, 2350.852, 0.3838737, 0.2469725, 0.2456566
10, 0, 0, -75.0, 200.4265, -388.6575, 1004.0, 1047.0, 277.0, 402.755, 2350.856, 0.3807371, 0.2569725, 0.2556566
11, 0, 0, -75.0, 200.4265, -388.6575, 1004.0, 1047.0, 277.0, 402.7506, 2350.867, 0.3699347, 0.2669725, 0.2656566
12, 0, 0, -75.0, 200.4265, -388.6575, 1004.0, 1047.0, 277.0, 402.744, 2350.884, 0.3537311, 0.2769725, 0.2756566
13, 0, 0, -75.0, 200.4265, -388.5821, 1004.0, 1046.0, 276.0, 402.7359, 2350.979, 0.3350879, 0.2869725, 0.2856565
14, 0, 0, -75.0, 200.4265, -388.5821, 1004.0, 1046.0, 276.0, 402.7277, 2351.001, 0.3148049, 0.2969725, 0.2956565
15, 0, 0, -75.0, 200.3467, -388.5821, 1004.0, 1046.0, 276.0, 402.6386, 2351.024, 0.2920738, 0.3069725, 0.3056565
16, 0, 0, -75.0, 200.3467, -388.5821, 1004.0, 1046.0, 277.5, 402.6298, 2351.047, 0.2703819, 0.3169725, 0.3156565
17, 0, 0, -75.0, 200.1916, -388.5821, 1004.0, 1047.0, 277.5, 402.4662, 2351.068, 0.249707, 0.3269725, 0.3256565
18, 0, 0, -75.0, 200.1916, -388.5821, 1004.0, 1047.0, 277.5, 402.4564, 2351.094, 0.2252959, 0.3369725, 0.3356565
19, 0, 0, -75.0, 200.1916, -388.5821, 1004.0, 1047.0, 277.5, 402.4292, 2351.166, 0.1577751, 0.3469724, 0.3456565
20, 0, 0, -75.0, 200.1916, -388.5821, 1004.0, 1048.0, 275.5, 402.3571, 2351.358, -0.02260201, 0.3569724, 0.3556565
21, 0, 0, -75.0, 200.1916, -389.3225, 1004.0, 1048.0, 275.5, 402.2141, 2350.989, -0.3700602, 0.3669724, 0.3656565
