idx, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
0, 0.0, 0.0, 9999.0, 654.0, 224.0, 359.0915, 2752.524, -0.03635053, 0.2218876, 0.2460197
1, 0.0, 0.0, 9999.0, 654.0, 224.5, 359.0277, 2752.531, -0.04222795, 0.2077951, 0.2560197
2, 0.0, 0.0, 9999.0, 654.0, 225.5, 359.075, 2752.528, -0.0400314, 0.1964069, 0.2660197
3, 0.0, 0.0, 9999.0, 654.0, 225.5, 359.0748, 2752.529, -0.04051688, 0.2064069, 0.2760197
4, 0.0, 0.0, 9999.0, 652.0, 225.5, 359.0759, 2752.523, -0.03806785, 0.2164069, 0.2502338
5, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.0671, 2752.526, -0.04075391, 0.2033832, 0.2602338
6, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.0672, 2752.526, -0.04043427, 0.2133832, 0.2702338
7, 0.0, 0.0, 9999.0, 651.0, 225.5, 359.1074, 2752.653, -0.04866219, 0.2009399, 0.2457939
8, 0.0, 0.0, 9999.0, 651.0, 225.0, 359.0976, 2752.652, -0.04766755, 0.1908147, 0.2557939
9, 0.0, 0.0, 9999.0, 651.0, 225.0, 359.0997, 2752.647, -0.04298718, 0.2008147, 0.2657939
10, 0.0, 0.0, 9999.0, 651.0, 225.0, 359.1031, 2752.743, -0.03534222, 0.2108147, 0.2423716
11, 0.0, 0.0, 9999.0, 651.0, 225.5, 359.1423, 2752.743, -0.03599669, 0.1988592, 0.2523716
12, 0.0, 0.0, 9999.0, 651.0, 225.5, 359.1408, 2752.747, -0.0393095, 0.2088592, 0.2623716
13, 0.0, 0.0, 9999.0, 651.0, 225.5, 359.1427, 2752.743, -0.03501556, 0.2188592, 0.2723716
14, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.1289, 2752.71, -0.03291587, 0.2188592, 0.2723716
15, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.1289, 2752.71, -0.03291587, 0.20536, 0.247437
16, 0.0, 0.0, 9999.0, 652.0, 224.0, 359.0171, 2752.716, -0.03801983, 0.1944243, 0.257437
17, 0.0, 0.0, 9999.0, 651.0, 224.0, 359.0139, 2752.815, -0.04511839, 0.2044244, 0.2358936
18, 0.0, 0.0, 9999.0, 651.0, 226.0, 359.1104, 2752.813, -0.04281816, 0.1936615, 0.2458936
19, 0.0, 0.0, 9999.0, 651.0, 226.0, 359.1134, 2752.805, -0.0358289, 0.2036615, 0.2558936
20, 0.0, 0.0, 9999.0, 653.0, 226.0, 359.2043, 2752.642, -0.03146868, 0.2011651, 0.2424486
21, 0.0, 0.0, 9999.0, 653.0, 225.0, 359.2008, 2752.652, -0.0395143, 0.2011651, 0.2424486
22, 0.0, 0.0, 9999.0, 653.0, 225.0, 359.1783, 2752.66, -0.04709641, 0.2009989, 0.2624486
23, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.178, 2752.641, -0.04774794, 0.2109989, 0.2397841
24, 0.0, 0.0, 9999.0, 652.0, 224.5, 359.1136, 2752.633, -0.03992173, 0.2109989, 0.2397841
25, 0.0, 0.0, 9999.0, 652.0, 224.5, 359.1136, 2752.633, -0.03992173, 0.1990086, 0.2497842
26, 0.0, 0.0, 9999.0, 652.0, 224.5, 359.0584, 2752.625, -0.03289884, 0.199233, 0.2697842
27, 0.0, 0.0, 9999.0, 651.0, 224.5, 359.0555, 2752.738, -0.0394385, 0.209233, 0.2454479
28, 0.0, 0.0, 9999.0, 651.0, 224.5, 359.0555, 2752.738, -0.0394385, 0.209233, 0.2454479
29, 0.0, 0.0, 9999.0, 651.0, 225.0, 359.0486, 2752.743, -0.04304933, 0.1975754, 0.2554479
30, 0.0, 0.0, 9999.0, 652.0, 225.0, 359.054, 2752.701, -0.03079302, 0.2175755, 0.2421043
31, 0.0, 0.0, 9999.0, 652.0, 225.5, 359.0967, 2752.709, -0.03808844, 0.2175755, 0.2421043
32, 0.0, 0.0, 9999.0, 652.0, 224.5, 359.0363, 2752.717, -0.04462781, 0.193581, 0.2621043
33, 0.0, 0.0, 9999.0, 652.0, 224.5, 359.0376, 2752.713, -0.04179424, 0.203581, 0.2721043
34, 0.0, 0.0, 9999.0, 652.0, 224.5, 359.041, 2752.68, -0.03401411, 0.213581, 0.2472317
35, 0.0, 0.0, 9999.0, 652.0, 226.0, 359.1397, 2752.673, -0.02832057, 0.2010999, 0.2572317
36, 0.0, 0.0, 9999.0, 652.0, 226.0, 359.1366, 2752.681, -0.03529196, 0.2111, 0.2672317
37, 0.0, 0.0, 9999.0, 652.0, 226.0, 359.1338, 2752.665, -0.04156133, 0.2210999, 0.2434813
38, 0.0, 0.0, 9999.0, 652.0, 225.5, 359.1303, 2752.674, -0.04960366, 0.2210999, 0.2434813
39, 0.0, 0.0, 9999.0, 652.0, 225.5, 359.1686, 2752.674, -0.04960366, 0.2071624, 0.2534813
40, 0.0, 0.0, 9999.0, 652.0, 225.5, 359.2036, 2752.667, -0.04397132, 0.2058922, 0.2734813
41, 0.0, 0.0, 9999.0, 649.0, 225.5, 359.2069, 2753.012, -0.0366644, 0.2058922, 0.2734813
